Modelo,Acurácia Treino,Acurácia Teste,Diferença Acurácia,Recall Treino,Recall Teste,Diferença Recall
Gradient Boosting Otimizado,0.9771986970684039,0.7532467532467533,0.22395194382165062,0.9532710280373832,0.6296296296296297,0.3236413984077535
Gradient Boosting,0.9250814332247557,0.7597402597402597,0.16534117348449595,0.8457943925233645,0.5740740740740741,0.27172031844929045
Random Forest,0.8273615635179153,0.7207792207792207,0.1065823427386946,0.6261682242990654,0.46296296296296297,0.16320526133610241
Random Forest Otimizado,0.8420195439739414,0.7402597402597403,0.10175980371420112,0.8598130841121495,0.7407407407407407,0.11907234337140882
SVC,0.8403908794788274,0.7402597402597403,0.10013113921908712,0.6728971962616822,0.5555555555555556,0.11734164070612663
Rede Neural - Keras,0.8126273155212402,0.7207792207792207,0.09184809474201949,0.6882352828979492,0.5925925925925926,0.09564269030535666
Regressão Logística,0.7964169381107492,0.7077922077922078,0.08862473031854146,0.5934579439252337,0.5,0.09345794392523366
KNN,0.8289902280130294,0.7532467532467533,0.07574347476627608,0.719626168224299,0.6111111111111112,0.10851505711318787
Regressão Logística - Limiar 0.4,0.7817589576547231,0.7337662337662337,0.04799272388848941,0.6822429906542056,0.6481481481481481,0.03409484250605743
Árvore de Decisão Otimizada,0.7280130293159609,0.6818181818181818,0.046194847497779135,0.8878504672897196,0.8518518518518519,0.035998615437867754
Árvore de Decisão,0.7947882736156352,0.7857142857142857,0.0090739879013495,0.7289719626168224,0.6851851851851852,0.04378677743163717
