Modelo,Acurácia,Precisão,Recall/Sensibilidade,Especificidade,F1-score,ROC AUC,PR AUC,Falsos Negativos,Taxa de Falsos Negativos,Falsos Positivos,Taxa de Falsos Positivos
Árvore de Decisão,0.7857142857142857,0.6981132075471698,0.6851851851851852,0.84,0.6915887850467289,0.7887037037037039,0.6203473559515497,17,0.3148148148148148,16,0.16
Random Forest Otimizado,0.7402597402597403,0.6060606060606061,0.7407407407407407,0.74,0.6666666666666666,0.8183333333333334,0.6956003018257888,14,0.25925925925925924,26,0.26
Rede Neural - Keras - Limiar 0.4,0.7402597402597403,0.609375,0.7222222222222222,0.75,0.6610169491525424,0.8083333333333333,0.6723594755380056,15,0.2777777777777778,25,0.25
Árvore de Decisão Otimizada,0.6818181818181818,0.5287356321839081,0.8518518518518519,0.59,0.6524822695035462,0.7835185185185185,0.5931920099796688,8,0.14814814814814814,41,0.41
Gradient Boosting Otimizado,0.7532467532467533,0.6538461538461539,0.6296296296296297,0.82,0.6415094339622641,0.8125925925925926,0.6969428438345614,20,0.37037037037037035,18,0.18
KNN,0.7532467532467533,0.66,0.6111111111111112,0.83,0.6346153846153846,0.7899074074074074,0.6400497033830367,21,0.3888888888888889,17,0.17
Regressão Logística - Limiar 0.4,0.7337662337662337,0.6140350877192983,0.6481481481481481,0.78,0.6306306306306306,0.812962962962963,0.673326163579994,19,0.35185185185185186,22,0.22
Gradient Boosting,0.7597402597402597,0.6888888888888889,0.5740740740740741,0.86,0.6262626262626263,0.8314814814814814,0.7251057304233998,23,0.42592592592592593,14,0.14
SVC,0.7402597402597403,0.6521739130434783,0.5555555555555556,0.84,0.6,0.7963888888888889,0.6615267161192857,24,0.4444444444444444,16,0.16
Rede Neural - Keras,0.7207792207792207,0.6037735849056604,0.5925925925925926,0.79,0.5981308411214953,0.8083333333333333,0.6723594755380056,22,0.4074074074074074,21,0.21
Regressão Logística,0.7077922077922078,0.6,0.5,0.82,0.5454545454545454,0.812962962962963,0.673326163579994,27,0.5,18,0.18
Random Forest,0.7207792207792207,0.6410256410256411,0.46296296296296297,0.86,0.5376344086021505,0.8007407407407408,0.6547696044610387,29,0.5370370370370371,14,0.14
